Timestamp,n-transactions
2021-04-25 00:00:00,241041
2021-04-26 00:00:00,240687
2021-04-27 00:00:00,298109
2021-04-28 00:00:00,277126
2021-04-29 00:00:00,259465
2021-04-30 00:00:00,289389
2021-05-01 00:00:00,262991
2021-05-02 00:00:00,235214
2021-05-03 00:00:00,287007
2021-05-04 00:00:00,300824
2021-05-05 00:00:00,309774
2021-05-06 00:00:00,311380
2021-05-07 00:00:00,307988
2021-05-08 00:00:00,274691
2021-05-09 00:00:00,247866
2021-05-10 00:00:00,303297
2021-05-11 00:00:00,312115
2021-05-12 00:00:00,300452
2021-05-13 00:00:00,276472
2021-05-14 00:00:00,266055
2021-05-15 00:00:00,232099
2021-05-16 00:00:00,219435
2021-05-17 00:00:00,250910
2021-05-18 00:00:00,221018
2021-05-19 00:00:00,263419
2021-05-20 00:00:00,228039
2021-05-21 00:00:00,226351
2021-05-22 00:00:00,223800
2021-05-23 00:00:00,194320
